,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
537,1.1395855701238435,2.0820928287798015,3.118993378379816,1.0558798815996326,160.0,-0.18460114407936581,-0.9705498033908365,2.4319814616531144
1907,0.5038683379740078,2.0820928287798015,-0.2935371048475198,-1.495829832266146,135.0,-0.18460114407936581,-0.9944722524516815,0.34744159566547933
2192,0.5038683379740078,-1.4863720850857682,-0.2935371048475198,1.0558798815996326,69.0,-0.15679506992266223,1.062858366780978,-0.04340962920720225
1576,1.1395855701238435,-0.29688378046391156,-0.2935371048475198,1.0558798815996326,127.0,-0.18460114407936581,-0.9705498033908365,1.375235557367716
3104,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,65.0,-0.15679506992266223,1.062858366780978,-0.6224484808704343
3247,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,18.0,-0.15679506992266223,-0.9779105569480195,-0.6514004234535958
1532,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,60.0,-0.21240721823606937,1.062858366780978,1.2883797296182313
103,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,165.0,0.5939689323083338,1.062858366780978,-0.11578948566510625
2857,-0.1318488941758281,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,85.0,0.17687781995778046,1.062858366780978,-0.5645445957041111
6294,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,66.0,-0.12898899576595868,-0.9834311221159069,0.07239814112544415
4625,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,60.0,-0.15679506992266223,-0.9503077311085832,-0.5500686244125302
7535,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,70.0,0.454938561524816,1.062858366780978,0.04344619854228256
1909,-0.1318488941758281,0.892604524157945,-0.2935371048475198,0.20530997697770637,69.0,-0.10118292160925513,-0.9779105569480195,0.20268188274967136
7169,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-1.495829832266146,55.0,-0.18460114407936581,1.062858366780978,1.7950387248235593
1578,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,150.0,-0.18460114407936581,1.061018178391682,0.20268188274967136
5167,-0.7675661263256639,-1.4863720850857682,-0.2935371048475198,-1.495829832266146,70.0,-0.18460114407936581,1.062858366780978,-0.5355926531209494
7537,-0.1318488941758281,-1.4863720850857682,0.8439730562282588,1.0558798815996326,80.0,-0.18460114407936581,-0.9705498033908365,-0.26054919858091424
5979,5.589606195172694,5.650557742645372,8.806544183758708,7.009869213953116,860.0,-0.18460114407936581,1.062858366780978,0.8106726769960649
5228,0.5038683379740078,0.892604524157945,-0.2935371048475198,0.20530997697770637,70.0,-0.12898899576595868,1.062858366780978,-0.41978488278830306
644,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,50.0,-0.12898899576595868,-0.9153441517119637,-0.21712128470617184
4998,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,120.0,-0.21240721823606937,1.062858366780978,0.23163382533283294
5451,-1.4032833584754998,-1.4863720850857682,-2.568557426999077,-0.6452599276442199,40.0,-0.12898899576595868,1.062858366780978,-0.5211166818293687
6696,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,100.0,-0.18460114407936581,-0.9889516872837941,-0.21712128470617184
2567,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,65.0,-0.07337684745255157,1.062858366780978,-0.26054919858091424
958,-0.7675661263256639,-0.29688378046391156,13.356584828061823,-0.6452599276442199,29.0,-0.21240721823606937,-0.8233347322471758,2.1858899496962407
2164,-0.7675661263256639,-0.29688378046391156,0.8439730562282588,-0.6452599276442199,55.0,-0.15679506992266223,-0.9889516872837941,0.9699083612034536
2600,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,66.0,-0.18460114407936581,-0.9429469775514001,-0.37635696891356063
3894,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,65.0,-0.15679506992266223,-0.9944722524516815,-0.5790205669956918
802,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,60.0,0.12126567164437332,1.062858366780978,-0.4053089114967222
6173,-0.1318488941758281,-1.4863720850857682,-0.2935371048475198,0.20530997697770637,145.0,-0.10118292160925513,-0.33568480908379944,-0.5934965382872727
5221,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,70.0,-0.15679506992266223,-0.9576684846657663,-0.028933657915621445
6735,-0.7675661263256639,-0.29688378046391156,0.8439730562282588,-0.6452599276442199,38.0,-0.10118292160925513,1.062858366780978,-0.5934965382872727
4726,1.1395855701238435,-0.29688378046391156,-0.2935371048475198,1.0558798815996326,145.0,-0.15679506992266223,1.062858366780978,-0.21712128470617184
6954,0.5038683379740078,0.892604524157945,1.9814832173040375,1.0558798815996326,250.0,2.290139455867251,-0.676119661103515,-0.43426085407988385
2404,-0.7675661263256639,0.892604524157945,-0.2935371048475198,1.9064497862215586,69.0,-0.07337684745255157,1.062858366780978,-0.26054919858091424
1961,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,79.0,-0.21240721823606937,1.062858366780978,5.081084208012401
3044,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,110.0,-0.15679506992266223,1.062858366780978,-0.36188099762197984
6092,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,66.0,-0.18460114407936581,1.062858366780978,-0.6514004234535958
1342,0.5038683379740078,0.892604524157945,-0.2935371048475198,1.9064497862215586,300.0,-0.045570773295848015,1.062858366780978,-0.5500686244125302
4189,0.5038683379740078,0.892604524157945,-0.2935371048475198,0.20530997697770637,84.0,-0.15679506992266223,1.062858366780978,-0.34740502633039905
2004,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,290.0,-0.12898899576595868,-0.9797507453373153,1.8284667540155913e-05
1750,-1.4032833584754998,0.892604524157945,-0.2935371048475198,0.20530997697770637,36.0,-0.21240721823606937,-0.9963124408409771,0.7238168492465802
2385,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,95.0,1.4003450828527368,-0.33016424391591215,-0.4053089114967222
5605,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,105.0,-0.12898899576595868,1.062858366780978,1.0422882176613577
6603,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,70.0,-0.07337684745255157,1.062858366780978,-0.5645445957041111
5136,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,50.0,-0.18460114407936581,1.062858366780978,-0.5500686244125302
5735,-0.1318488941758281,-1.4863720850857682,-0.2935371048475198,-0.6452599276442199,50.0,-0.045570773295848015,1.062858366780978,-0.5790205669956918
3393,0.5038683379740078,-0.29688378046391156,-0.2935371048475198,0.20530997697770637,60.0,-0.21240721823606937,-0.9815909337266111,-0.5066407105377878
39,-0.7675661263256639,-0.29688378046391156,-0.2935371048475198,-0.6452599276442199,110.0,-0.18460114407936581,1.062858366780978,-0.17369337083142944
5668,-0.7675661263256639,-1.4863720850857682,-0.2935371048475198,-0.6452599276442199,50.0,-0.12898899576595868,1.062858366780978,-0.4053089114967222
